î[ïiî‘çÜ,å_ñÒî‘çÜ,î[ïiì˙,ã@äÌå^î‘
DLV-00120465,CTR-40877-A13-01002,2011-12-31,MCN000009
DLV-00120466,CTR-40877-A15-00561,2011-12-31,MCN000001
DLV-00120467,CTR-40877-A15-00647,2011-12-31,MCN000009
DLV-00120468,CTR-40877-A16-00538,2011-12-31,MCN000014
DLV-00120469,CTR-40877-A16-00538,2011-12-31,MCN000001
DLV-00120470,CTR-40877-A16-00538,2011-12-31,MCN000009
DLV-00120471,CTR-40877-A16-00538,2011-12-31,MCN000001
DLV-00120472,CTR-40877-A17-00903,2011-12-31,MCN000009
DLV-00120473,CTR-40877-A17-00903,2011-12-31,MCN000014
DLV-00120474,CTR-40877-A17-00950,2011-12-31,MCN000009
DLV-00120475,CTR-40877-A17-00950,2011-12-31,MCN000009
DLV-00120476,CTR-40877-A17-00950,2011-12-31,MCN000001
DLV-00120477,CTR-40877-A17-00950,2011-12-31,MCN000014
DLV-00120478,CTR-40877-A17-00950,2011-12-31,MCN000014
DLV-00120479,CTR-40877-A17-00951,2011-12-31,MCN000009
DLV-00120480,CTR-40877-A17-00951,2011-12-31,MCN000001
DLV-00120481,CTR-40877-A17-00951,2011-12-31,MCN000009
DLV-00120482,CTR-40877-A17-00951,2011-12-31,MCN000009
DLV-00120483,CTR-40877-A17-00951,2011-12-31,MCN000001
DLV-00120484,CTR-40877-A19-00482,2011-12-31,MCN000009
DLV-00120485,CTR-40877-A19-00482,2011-12-31,MCN000014
DLV-00120486,CTR-40877-A19-00482,2011-12-31,MCN000014
DLV-00120487,CTR-40877-A2-00013,2011-12-31,MCN000001
DLV-00120488,CTR-40877-A2-00013,2011-12-31,MCN000014
DLV-00120489,CTR-40877-A2-00069,2011-12-31,MCN000014
DLV-00120490,CTR-40877-A2-00069,2011-12-31,MCN000009
DLV-00120491,CTR-40877-A2-00091,2011-12-31,MCN000001
DLV-00120492,CTR-40877-A2-00091,2011-12-31,MCN000001
DLV-00120493,CTR-40877-A2-00091,2011-12-31,MCN000009
DLV-00120494,CTR-40877-A2-00091,2011-12-31,MCN000009
DLV-00120495,CTR-40877-A2-00091,2011-12-31,MCN000014
DLV-00120496,CTR-40877-A2-00091,2011-12-31,MCN000009
DLV-00120497,CTR-40877-A2-00122,2011-12-31,MCN000009
DLV-00120498,CTR-40877-A2-00122,2011-12-31,MCN000009
DLV-00120499,CTR-40877-A2-00122,2011-12-31,MCN000014
DLV-00120500,CTR-40877-A2-00122,2011-12-31,MCN000001
DLV-00120501,CTR-40877-A2-00122,2011-12-31,MCN000001
DLV-00120502,CTR-40877-A2-00130,2011-12-31,MCN000001
DLV-00120503,CTR-40877-A2-00130,2011-12-31,MCN000014
DLV-00120504,CTR-40877-A2-00130,2011-12-31,MCN000001
DLV-00120505,CTR-40877-A2-00130,2011-12-31,MCN000014
DLV-00120506,CTR-40877-A2-00130,2011-12-31,MCN000001
DLV-00120507,CTR-40877-A2-00130,2011-12-31,MCN000014
DLV-00120508,CTR-40877-A2-00143,2011-12-31,MCN000001
DLV-00120509,CTR-40877-A2-00143,2011-12-31,MCN000009
DLV-00120510,CTR-40877-A2-00143,2011-12-31,MCN000001
DLV-00120511,CTR-40877-A2-00143,2011-12-31,MCN000014
DLV-00120512,CTR-40877-A2-00143,2011-12-31,MCN000014
DLV-00120513,CTR-40877-A2-00143,2011-12-31,MCN000014
DLV-00120514,CTR-40877-A2-00143,2011-12-31,MCN000001
DLV-00120515,CTR-40877-A2-00143,2011-12-31,MCN000001
DLV-00120516,CTR-40877-A2-00238,2011-12-31,MCN000014
DLV-00120517,CTR-40877-A2-00376,2011-12-31,MCN000001
DLV-00120518,CTR-40877-A2-00376,2011-12-31,MCN000014
DLV-00120519,CTR-40877-A2-00376,2011-12-31,MCN000014
DLV-00120520,CTR-40877-A2-00376,2011-12-31,MCN000001
DLV-00120521,CTR-40877-A2-00407,2011-12-31,MCN000001
DLV-00120522,CTR-40877-A2-00407,2011-12-31,MCN000014
DLV-00120523,CTR-40877-A2-00407,2011-12-31,MCN000001
DLV-00120524,CTR-40877-A2-00407,2011-12-31,MCN000001
DLV-00120525,CTR-40877-A2-00407,2011-12-31,MCN000009
DLV-00120526,CTR-40877-A2-00407,2011-12-31,MCN000014
DLV-00120527,CTR-40877-A2-00407,2011-12-31,MCN000001
DLV-00120528,CTR-40877-A2-00407,2011-12-31,MCN000009
DLV-00120529,CTR-40877-A2-00407,2011-12-31,MCN000009
DLV-00120530,CTR-40877-A2-00439,2011-12-31,MCN000009
DLV-00120531,CTR-40877-A2-00439,2011-12-31,MCN000014
DLV-00120532,CTR-40877-A2-00528,2011-12-31,MCN000014
DLV-00120533,CTR-40877-A2-00528,2011-12-31,MCN000009
DLV-00120534,CTR-40877-A2-00528,2011-12-31,MCN000001
DLV-00120535,CTR-40877-A2-00548,2011-12-31,MCN000014
DLV-00120536,CTR-40877-A2-00548,2011-12-31,MCN000014
DLV-00120537,CTR-40877-A2-00548,2011-12-31,MCN000014
DLV-00120538,CTR-40877-A2-00548,2011-12-31,MCN000001
DLV-00120539,CTR-40877-A2-00548,2011-12-31,MCN000014
DLV-00120540,CTR-40877-A2-00548,2011-12-31,MCN000001
DLV-00120541,CTR-40877-A2-00657,2011-12-31,MCN000009
DLV-00120542,CTR-40877-A2-00657,2011-12-31,MCN000009
DLV-00120543,CTR-40877-A2-00677,2011-12-31,MCN000014
DLV-00120544,CTR-40877-A2-00677,2011-12-31,MCN000001
DLV-00120545,CTR-40877-A2-00677,2011-12-31,MCN000014
DLV-00120546,CTR-40877-A2-00677,2011-12-31,MCN000014
DLV-00120547,CTR-40877-A2-00677,2011-12-31,MCN000014
DLV-00120548,CTR-40877-A2-00677,2011-12-31,MCN000001
DLV-00120549,CTR-40877-A2-00677,2011-12-31,MCN000009
DLV-00120550,CTR-40877-A2-00677,2011-12-31,MCN000009
DLV-00120551,CTR-40877-A2-00677,2011-12-31,MCN000009
DLV-00120552,CTR-40877-A2-00677,2011-12-31,MCN000009
DLV-00120553,CTR-40877-A2-00677,2011-12-31,MCN000014
DLV-00120554,CTR-40877-A2-00677,2011-12-31,MCN000014
DLV-00120555,CTR-40877-A2-00677,2011-12-31,MCN000014
DLV-00120556,CTR-40877-A2-00681,2011-12-31,MCN000014
DLV-00120557,CTR-40877-A2-00681,2011-12-31,MCN000014
DLV-00120558,CTR-40877-A2-00682,2011-12-31,MCN000009
DLV-00120559,CTR-40877-A2-00682,2011-12-31,MCN000014
DLV-00120560,CTR-40877-A2-00766,2011-12-31,MCN000009
DLV-00120561,CTR-40877-A2-00766,2011-12-31,MCN000001
DLV-00120562,CTR-40877-A2-00766,2011-12-31,MCN000009
DLV-00120563,CTR-40877-A2-00772,2011-12-31,MCN000001
DLV-00120564,CTR-40877-A2-00792,2011-12-31,MCN000001
DLV-00120565,CTR-40877-A2-00792,2011-12-31,MCN000014
DLV-00120566,CTR-40877-A2-00792,2011-12-31,MCN000009
DLV-00120567,CTR-40877-A2-00792,2011-12-31,MCN000009
DLV-00120568,CTR-40877-A2-00792,2011-12-31,MCN000009
DLV-00120569,CTR-40877-A2-00792,2011-12-31,MCN000001
DLV-00120570,CTR-40877-A2-00792,2011-12-31,MCN000009
DLV-00120571,CTR-40877-A2-00797,2011-12-31,MCN000001
DLV-00120572,CTR-40877-A2-00880,2011-12-31,MCN000009
DLV-00120573,CTR-40877-A2-00880,2011-12-31,MCN000001
DLV-00120574,CTR-40877-A2-00880,2011-12-31,MCN000009
DLV-00120575,CTR-40877-A2-00880,2011-12-31,MCN000001
DLV-00120576,CTR-40877-A2-00880,2011-12-31,MCN000014
DLV-00120577,CTR-40877-A2-00880,2011-12-31,MCN000009
DLV-00120578,CTR-40877-A2-00979,2011-12-31,MCN000009
DLV-00120579,CTR-40877-A2-00979,2011-12-31,MCN000009
DLV-00120580,CTR-40877-A2-00979,2011-12-31,MCN000001
DLV-00120581,CTR-40877-A2-00979,2011-12-31,MCN000009
DLV-00120582,CTR-40877-A2-00979,2011-12-31,MCN000014
DLV-00120583,CTR-40877-A2-01080,2011-12-31,MCN000001
DLV-00120584,CTR-40877-A2-01080,2011-12-31,MCN000009
DLV-00120585,CTR-40877-A2-01080,2011-12-31,MCN000001
DLV-00120586,CTR-40877-A2-01080,2011-12-31,MCN000001
DLV-00120587,CTR-40877-A2-01080,2011-12-31,MCN000001
DLV-00120588,CTR-40877-A2-01080,2011-12-31,MCN000001
DLV-00120589,CTR-40877-A2-01080,2011-12-31,MCN000014
DLV-00120590,CTR-40877-A2-01109,2011-12-31,MCN000009
DLV-00120591,CTR-40877-A2-01132,2011-12-31,MCN000009
DLV-00120592,CTR-40877-A2-01132,2011-12-31,MCN000001
DLV-00120593,CTR-40877-A2-01132,2011-12-31,MCN000001
DLV-00120594,CTR-40877-A2-01132,2011-12-31,MCN000001
DLV-00120595,CTR-40877-A3-00003,2011-12-31,MCN000001
DLV-00120596,CTR-40877-A3-00003,2011-12-31,MCN000009
DLV-00120597,CTR-40877-A3-00003,2011-12-31,MCN000009
DLV-00120598,CTR-40877-A3-00006,2011-12-31,MCN000014
DLV-00120599,CTR-40877-A3-00006,2011-12-31,MCN000001
DLV-00120600,CTR-40877-A3-00006,2011-12-31,MCN000014
DLV-00120601,CTR-40877-A3-00006,2011-12-31,MCN000001
DLV-00120602,CTR-40877-A3-00010,2011-12-31,MCN000009
DLV-00120603,CTR-40877-A3-00062,2011-12-31,MCN000014
DLV-00120604,CTR-40877-A3-00062,2011-12-31,MCN000014
DLV-00120605,CTR-40877-A3-00062,2011-12-31,MCN000001
DLV-00120606,CTR-40877-A3-00063,2011-12-31,MCN000014
DLV-00120607,CTR-40877-A3-00063,2011-12-31,MCN000014
DLV-00120608,CTR-40877-A3-00063,2011-12-31,MCN000001
DLV-00120609,CTR-40877-A3-00063,2011-12-31,MCN000001
DLV-00120610,CTR-40877-A3-00063,2011-12-31,MCN000009
DLV-00120611,CTR-40877-A3-00104,2011-12-31,MCN000001
DLV-00120612,CTR-40877-A3-00127,2011-12-31,MCN000014
DLV-00120613,CTR-40877-A3-00127,2011-12-31,MCN000014
DLV-00120614,CTR-40877-A3-00127,2011-12-31,MCN000014
DLV-00120615,CTR-40877-A3-00127,2011-12-31,MCN000009
DLV-00120616,CTR-40877-A3-00127,2011-12-31,MCN000009
DLV-00120617,CTR-40877-A3-00225,2011-12-31,MCN000014
DLV-00120618,CTR-40877-A3-00225,2011-12-31,MCN000009
DLV-00120619,CTR-40877-A3-00225,2011-12-31,MCN000009
DLV-00120620,CTR-40877-A3-00225,2011-12-31,MCN000001
DLV-00120621,CTR-40877-A3-00225,2011-12-31,MCN000001
DLV-00120622,CTR-40877-A3-00225,2011-12-31,MCN000009
DLV-00120623,CTR-40877-A3-00225,2011-12-31,MCN000009
DLV-00120624,CTR-40877-A3-00254,2011-12-31,MCN000009
DLV-00120625,CTR-40877-A3-00254,2011-12-31,MCN000009
DLV-00120626,CTR-40877-A3-00262,2011-12-31,MCN000014
DLV-00120627,CTR-40877-A3-00281,2011-12-31,MCN000009
DLV-00120628,CTR-40877-A3-00281,2011-12-31,MCN000009
DLV-00120629,CTR-40877-A3-00281,2011-12-31,MCN000001
DLV-00120630,CTR-40877-A3-00281,2011-12-31,MCN000009
DLV-00120631,CTR-40877-A3-00317,2011-12-31,MCN000001
DLV-00120632,CTR-40877-A3-00376,2011-12-31,MCN000014
DLV-00120633,CTR-40877-A3-00381,2011-12-31,MCN000014
DLV-00120634,CTR-40877-A3-00381,2011-12-31,MCN000001
DLV-00120635,CTR-40877-A3-00381,2011-12-31,MCN000014
DLV-00120636,CTR-40877-A3-00381,2011-12-31,MCN000001
DLV-00120637,CTR-40877-A3-00381,2011-12-31,MCN000009
DLV-00120638,CTR-40877-A3-00381,2011-12-31,MCN000009
DLV-00120639,CTR-40877-A3-00437,2011-12-31,MCN000009
DLV-00120640,CTR-40877-A3-00497,2011-12-31,MCN000001
DLV-00120641,CTR-40877-A3-00578,2011-12-31,MCN000014
DLV-00120642,CTR-40877-A3-00578,2011-12-31,MCN000014
DLV-00120643,CTR-40877-A3-00587,2011-12-31,MCN000014
DLV-00120644,CTR-40877-A3-00587,2011-12-31,MCN000001
DLV-00120645,CTR-40877-A3-00587,2011-12-31,MCN000009
DLV-00120646,CTR-40877-A3-00587,2011-12-31,MCN000001
DLV-00120647,CTR-40877-A3-00587,2011-12-31,MCN000001
DLV-00120648,CTR-40877-A3-00732,2011-12-31,MCN000014
DLV-00120649,CTR-40877-A3-00732,2011-12-31,MCN000009
DLV-00120650,CTR-40877-A3-00772,2011-12-31,MCN000014
DLV-00120651,CTR-40877-A3-00772,2011-12-31,MCN000014
DLV-00120652,CTR-40877-A3-00772,2011-12-31,MCN000014
DLV-00120653,CTR-40877-A3-00772,2011-12-31,MCN000009
DLV-00120654,CTR-40877-A3-00871,2011-12-31,MCN000014
DLV-00120655,CTR-40877-A3-00884,2011-12-31,MCN000009
DLV-00120656,CTR-40877-A3-00900,2011-12-31,MCN000009
DLV-00120657,CTR-40877-A3-00902,2011-12-31,MCN000001
DLV-00120658,CTR-40877-A3-00907,2011-12-31,MCN000014
DLV-00120659,CTR-40877-A3-00907,2011-12-31,MCN000009
DLV-00120660,CTR-40877-A3-00907,2011-12-31,MCN000009
DLV-00120661,CTR-40877-A3-00930,2011-12-31,MCN000001
DLV-00120662,CTR-40877-A3-00997,2011-12-31,MCN000001
DLV-00120663,CTR-40877-A3-01039,2011-12-31,MCN000009
DLV-00120664,CTR-40877-A3-01039,2011-12-31,MCN000014
DLV-00120665,CTR-40877-A3-01062,2011-12-31,MCN000001
DLV-00120666,CTR-40877-A3-01062,2011-12-31,MCN000014
DLV-00120667,CTR-40877-A3-01062,2011-12-31,MCN000014
DLV-00120668,CTR-40877-A3-01062,2011-12-31,MCN000009
DLV-00120669,CTR-40877-A3-01062,2011-12-31,MCN000009
DLV-00120670,CTR-40877-A3-01062,2011-12-31,MCN000014
DLV-00120671,CTR-40877-A3-01106,2011-12-31,MCN000009
DLV-00120672,CTR-40877-A3-01106,2011-12-31,MCN000001
DLV-00120673,CTR-40877-A3-01106,2011-12-31,MCN000001
DLV-00120674,CTR-40877-A3-01126,2011-12-31,MCN000009
DLV-00120675,CTR-40877-A3-01126,2011-12-31,MCN000009
DLV-00120676,CTR-40877-A3-01126,2011-12-31,MCN000014
DLV-00120677,CTR-40877-A3-01126,2011-12-31,MCN000001
DLV-00120678,CTR-40877-A3-01126,2011-12-31,MCN000009
DLV-00120679,CTR-40877-A4-00255,2011-12-31,MCN000014
DLV-00120680,CTR-40877-A4-00255,2011-12-31,MCN000001
DLV-00120681,CTR-40877-A4-00255,2011-12-31,MCN000001
DLV-00120682,CTR-40877-A4-00311,2011-12-31,MCN000009
DLV-00120683,CTR-40877-A4-00311,2011-12-31,MCN000014
DLV-00120684,CTR-40877-A4-00499,2011-12-31,MCN000014
DLV-00120685,CTR-40877-A4-00499,2011-12-31,MCN000014
DLV-00120686,CTR-40877-A4-00499,2011-12-31,MCN000009
DLV-00120687,CTR-40877-A4-00564,2011-12-31,MCN000014
DLV-00120688,CTR-40877-A4-00578,2011-12-31,MCN000014
DLV-00120689,CTR-40877-A4-00578,2011-12-31,MCN000009
DLV-00120690,CTR-40877-A4-00578,2011-12-31,MCN000009
DLV-00120691,CTR-40877-A4-00578,2011-12-31,MCN000014
DLV-00120692,CTR-40877-A4-00644,2011-12-31,MCN000009
DLV-00120693,CTR-40877-A4-00644,2011-12-31,MCN000014
DLV-00120694,CTR-40877-A4-00840,2011-12-31,MCN000001
DLV-00120695,CTR-40877-A4-00840,2011-12-31,MCN000014
DLV-00120696,CTR-40877-A4-00840,2011-12-31,MCN000014
DLV-00120697,CTR-40877-A4-00840,2011-12-31,MCN000014
DLV-00120698,CTR-40877-A4-00840,2011-12-31,MCN000009
DLV-00120699,CTR-40877-A4-00840,2011-12-31,MCN000014
DLV-00120700,CTR-40877-A4-00840,2011-12-31,MCN000014
DLV-00120701,CTR-40877-A4-00840,2011-12-31,MCN000014
DLV-00120702,CTR-40877-A4-00840,2011-12-31,MCN000014
DLV-00120703,CTR-40877-A4-00863,2011-12-31,MCN000014
DLV-00120704,CTR-40877-A4-00870,2011-12-31,MCN000001
DLV-00120705,CTR-40877-A4-00870,2011-12-31,MCN000009
DLV-00120706,CTR-40877-A4-00870,2011-12-31,MCN000001
DLV-00120707,CTR-40877-A4-00870,2011-12-31,MCN000001
DLV-00120708,CTR-40877-A4-00870,2011-12-31,MCN000009
DLV-00120709,CTR-40877-A4-00955,2011-12-31,MCN000014
DLV-00120710,CTR-40877-A4-00955,2011-12-31,MCN000009
DLV-00120711,CTR-40877-A4-00962,2011-12-31,MCN000001
DLV-00120712,CTR-40877-A4-00962,2011-12-31,MCN000001
DLV-00120713,CTR-40877-A4-01091,2011-12-31,MCN000014
DLV-00120714,CTR-40877-A4-01091,2011-12-31,MCN000014
DLV-00120715,CTR-40877-A4-01091,2011-12-31,MCN000001
DLV-00120716,CTR-40877-A4-01091,2011-12-31,MCN000009
DLV-00120717,CTR-40877-A4-01148,2011-12-31,MCN000014
DLV-00120718,CTR-40877-A4-01148,2011-12-31,MCN000014
DLV-00120719,CTR-40877-A4-01151,2011-12-31,MCN000001
DLV-00120720,CTR-40877-A4-01151,2011-12-31,MCN000001
DLV-00120721,CTR-40877-A5-00002,2011-12-31,MCN000001
DLV-00120722,CTR-40877-A5-00002,2011-12-31,MCN000014
DLV-00120723,CTR-40877-A5-00020,2011-12-31,MCN000009
DLV-00120724,CTR-40877-A5-00020,2011-12-31,MCN000001
DLV-00120725,CTR-40877-A5-00020,2011-12-31,MCN000009
DLV-00120726,CTR-40877-A5-00020,2011-12-31,MCN000001
DLV-00120727,CTR-40877-A5-00020,2011-12-31,MCN000001
DLV-00120728,CTR-40877-A5-00020,2011-12-31,MCN000001
DLV-00120729,CTR-40877-A5-00020,2011-12-31,MCN000009
DLV-00120730,CTR-40877-A5-00067,2011-12-31,MCN000001
DLV-00120731,CTR-40877-A5-00067,2011-12-31,MCN000009
DLV-00120732,CTR-40877-A5-00067,2011-12-31,MCN000009
DLV-00120733,CTR-40877-A5-00067,2011-12-31,MCN000009
DLV-00120734,CTR-40877-A5-00076,2011-12-31,MCN000001
DLV-00120735,CTR-40877-A5-00076,2011-12-31,MCN000001
DLV-00120736,CTR-40877-A5-00076,2011-12-31,MCN000014
DLV-00120737,CTR-40877-A5-00076,2011-12-31,MCN000009
DLV-00120738,CTR-40877-A5-00076,2011-12-31,MCN000009
DLV-00120739,CTR-40877-A5-00082,2011-12-31,MCN000001
DLV-00120740,CTR-40877-A5-00082,2011-12-31,MCN000001
DLV-00120741,CTR-40877-A5-00082,2011-12-31,MCN000014
DLV-00120742,CTR-40877-A5-00082,2011-12-31,MCN000001
DLV-00120743,CTR-40877-A5-00082,2011-12-31,MCN000001
DLV-00120744,CTR-40877-A5-00082,2011-12-31,MCN000009
DLV-00120745,CTR-40877-A5-00091,2011-12-31,MCN000001
DLV-00120746,CTR-40877-A5-00104,2011-12-31,MCN000009
DLV-00120747,CTR-40877-A5-00104,2011-12-31,MCN000009
DLV-00120748,CTR-40877-A5-00104,2011-12-31,MCN000014
DLV-00120749,CTR-40877-A5-00104,2011-12-31,MCN000009
DLV-00120750,CTR-40877-A5-00104,2011-12-31,MCN000009
DLV-00120751,CTR-40877-A5-00104,2011-12-31,MCN000014
DLV-00120752,CTR-40877-A5-00104,2011-12-31,MCN000014
DLV-00120753,CTR-40877-A5-00104,2011-12-31,MCN000001
DLV-00120754,CTR-40877-A5-00122,2011-12-31,MCN000009
DLV-00120755,CTR-40877-A5-00122,2011-12-31,MCN000009
DLV-00120756,CTR-40877-A5-00122,2011-12-31,MCN000001
DLV-00120757,CTR-40877-A5-00122,2011-12-31,MCN000014
DLV-00120758,CTR-40877-A5-00279,2011-12-31,MCN000001
DLV-00120759,CTR-40877-A5-00281,2011-12-31,MCN000014
DLV-00120760,CTR-40877-A5-00346,2011-12-31,MCN000014
DLV-00120761,CTR-40877-A5-00515,2011-12-31,MCN000001
DLV-00120762,CTR-40877-A5-00515,2011-12-31,MCN000001
DLV-00120763,CTR-40877-A5-00547,2011-12-31,MCN000014
DLV-00120764,CTR-40877-A5-00547,2011-12-31,MCN000009
DLV-00120765,CTR-40877-A5-00669,2011-12-31,MCN000001
DLV-00120766,CTR-40877-A5-00669,2011-12-31,MCN000014
DLV-00120767,CTR-40877-A5-00677,2011-12-31,MCN000014
DLV-00120768,CTR-40877-A5-00677,2011-12-31,MCN000001
DLV-00120769,CTR-40877-A5-00735,2011-12-31,MCN000014
DLV-00120770,CTR-40877-A5-00735,2011-12-31,MCN000014
DLV-00120771,CTR-40877-A5-00770,2011-12-31,MCN000009
DLV-00120772,CTR-40877-A5-00770,2011-12-31,MCN000001
DLV-00120773,CTR-40877-A5-00770,2011-12-31,MCN000001
DLV-00120774,CTR-40877-A5-00868,2011-12-31,MCN000001
DLV-00120775,CTR-40877-A5-00868,2011-12-31,MCN000014
DLV-00120776,CTR-40877-A5-00868,2011-12-31,MCN000014
DLV-00120777,CTR-40877-A5-00868,2011-12-31,MCN000001
DLV-00120778,CTR-40877-A5-00880,2011-12-31,MCN000009
DLV-00120779,CTR-40877-A5-00920,2011-12-31,MCN000014
DLV-00120780,CTR-40877-A5-00940,2011-12-31,MCN000009
DLV-00120781,CTR-40877-A5-00940,2011-12-31,MCN000009
DLV-00120782,CTR-40877-A5-00940,2011-12-31,MCN000009
DLV-00120783,CTR-40877-A5-00940,2011-12-31,MCN000014
DLV-00120784,CTR-40877-A5-00940,2011-12-31,MCN000009
DLV-00120785,CTR-40877-A5-00940,2011-12-31,MCN000014
DLV-00120786,CTR-40877-A5-00940,2011-12-31,MCN000014
DLV-00120787,CTR-40877-A5-00970,2011-12-31,MCN000009
DLV-00120788,CTR-40877-A5-01039,2011-12-31,MCN000009
DLV-00120789,CTR-40877-A5-01039,2011-12-31,MCN000009
DLV-00120790,CTR-40877-A5-01039,2011-12-31,MCN000014
DLV-00120791,CTR-40877-A5-01080,2011-12-31,MCN000001
