契約番号	取引先番号	契約年月日	請求番号	請求金額	手数料額
CTR-40877-A19-00482	CUS00482	2011-11-30	IVC-40877-A19-00482	1850000	90000
CTR-40877-A2-00013	CUS00013	2011-11-30	IVC-40877-A2-00013	870000	50000
CTR-40877-A2-00069	CUS00069	2011-11-30	IVC-40877-A2-00069	1170000	60000
CTR-40877-A2-00091	CUS00091	2011-11-30	IVC-40877-A2-00091	2490000	120000
CTR-40877-A2-00122	CUS00122	2011-11-30	IVC-40877-A2-00122	2010000	100000
CTR-40877-A2-00130	CUS00130	2011-11-30	IVC-40877-A2-00130	2590000	130000
CTR-40877-A2-00143	CUS00143	2011-11-30	IVC-40877-A2-00143	3250000	160000
CTR-40877-A2-00238	CUS00238	2011-11-30	IVC-40877-A2-00238	690000	40000
CTR-40877-A2-00376	CUS00376	2011-11-30	IVC-40877-A2-00376	1730000	90000
CTR-40877-A2-00407	CUS00407	2011-11-30	IVC-40877-A2-00407	3530000	170000
CTR-40877-A2-00439	CUS00439	2011-11-30	IVC-40877-A2-00439	1170000	60000
CTR-40877-A2-00528	CUS00528	2011-11-30	IVC-40877-A2-00528	1350000	70000
CTR-40877-A2-00548	CUS00548	2011-11-30	IVC-40877-A2-00548	3090000	150000
CTR-40877-A2-00657	CUS00657	2011-11-30	IVC-40877-A2-00657	970000	50000
CTR-40877-A2-00677	CUS00677	2011-11-30	IVC-40877-A2-00677	7070000	340000
CTR-40877-A2-00681	CUS00681	2011-11-30	IVC-40877-A2-00681	1370000	70000
CTR-40877-A2-00682	CUS00682	2011-11-30	IVC-40877-A2-00682	1170000	60000
CTR-40877-A2-00766	CUS00766	2011-11-30	IVC-40877-A2-00766	1150000	60000
CTR-40877-A2-00772	CUS00772	2011-11-30	IVC-40877-A2-00772	180000	10000
CTR-40877-A2-00792	CUS00792	2011-11-30	IVC-40877-A2-00792	2980000	150000
CTR-40877-A2-00797	CUS00797	2011-11-30	IVC-40877-A2-00797	180000	10000
CTR-40877-A2-00880	CUS00880	2011-11-30	IVC-40877-A2-00880	2490000	120000
CTR-40877-A2-00979	CUS00979	2011-11-30	IVC-40877-A2-00979	2310000	110000
CTR-40877-A2-01080	CUS01080	2011-11-30	IVC-40877-A2-01080	2060000	100000
CTR-40877-A2-01109	CUS01109	2011-11-30	IVC-40877-A2-01109	490000	30000
CTR-40877-A2-01132	CUS01132	2011-11-30	IVC-40877-A2-01132	1020000	50000
CTR-40877-A3-00003	CUS00003	2011-11-30	IVC-40877-A3-00003	1150000	60000
CTR-40877-A3-00006	CUS00006	2011-11-30	IVC-40877-A3-00006	1730000	90000
CTR-40877-A3-00010	CUS00010	2011-11-30	IVC-40877-A3-00010	490000	30000
CTR-40877-A3-00062	CUS00062	2011-11-30	IVC-40877-A3-00062	1550000	80000
CTR-40877-A3-00063	CUS00063	2011-11-30	IVC-40877-A3-00063	2210000	110000
CTR-40877-A3-00104	CUS00104	2011-11-30	IVC-40877-A3-00104	180000	10000
CTR-40877-A3-00127	CUS00127	2011-11-30	IVC-40877-A3-00127	3020000	150000
CTR-40877-A3-00225	CUS00225	2011-11-30	IVC-40877-A3-00225	2980000	150000
CTR-40877-A3-00254	CUS00254	2011-11-30	IVC-40877-A3-00254	970000	50000
CTR-40877-A3-00262	CUS00262	2011-11-30	IVC-40877-A3-00262	690000	40000
CTR-40877-A3-00281	CUS00281	2011-11-30	IVC-40877-A3-00281	1630000	80000
CTR-40877-A3-00317	CUS00317	2011-11-30	IVC-40877-A3-00317	180000	10000
CTR-40877-A3-00376	CUS00376	2011-11-30	IVC-40877-A3-00376	690000	40000
CTR-40877-A3-00381	CUS00381	2011-11-30	IVC-40877-A3-00381	2690000	130000
CTR-40877-A3-00437	CUS00437	2011-11-30	IVC-40877-A3-00437	490000	30000
CTR-40877-A3-00497	CUS00497	2011-11-30	IVC-40877-A3-00497	180000	10000
CTR-40877-A3-00578	CUS00578	2011-11-30	IVC-40877-A3-00578	1370000	70000
CTR-40877-A3-00587	CUS00587	2011-11-30	IVC-40877-A3-00587	1710000	90000
CTR-40877-A3-00732	CUS00732	2011-11-30	IVC-40877-A3-00732	1170000	60000
CTR-40877-A3-00772	CUS00772	2011-11-30	IVC-40877-A3-00772	2540000	130000
CTR-40877-A3-00871	CUS00871	2011-11-30	IVC-40877-A3-00871	690000	40000
CTR-40877-A3-00884	CUS00884	2011-11-30	IVC-40877-A3-00884	490000	30000
CTR-40877-A3-00900	CUS00900	2011-11-30	IVC-40877-A3-00900	490000	30000
CTR-40877-A3-00902	CUS00902	2011-11-30	IVC-40877-A3-00902	180000	10000
CTR-40877-A3-00907	CUS00907	2011-11-30	IVC-40877-A3-00907	1650000	80000
CTR-40877-A3-00930	CUS00930	2011-11-30	IVC-40877-A3-00930	180000	10000
CTR-40877-A3-00997	CUS00997	2011-11-30	IVC-40877-A3-00997	180000	10000
CTR-40877-A3-01039	CUS01039	2011-11-30	IVC-40877-A3-01039	1170000	60000
CTR-40877-A3-01062	CUS01062	2011-11-30	IVC-40877-A3-01062	3200000	160000
CTR-40877-A3-01106	CUS01106	2011-11-30	IVC-40877-A3-01106	840000	40000
CTR-40877-A3-01126	CUS01126	2011-11-30	IVC-40877-A3-01126	2310000	110000
CTR-40877-A4-00255	CUS00255	2011-11-30	IVC-40877-A4-00255	1040000	50000
CTR-40877-A4-00311	CUS00311	2011-11-30	IVC-40877-A4-00311	1170000	60000
CTR-40877-A4-00499	CUS00499	2011-11-30	IVC-40877-A4-00499	1850000	90000
CTR-40877-A4-00564	CUS00564	2011-11-30	IVC-40877-A4-00564	690000	40000
CTR-40877-A4-00578	CUS00578	2011-11-30	IVC-40877-A4-00578	2340000	120000
CTR-40877-A4-00644	CUS00644	2011-11-30	IVC-40877-A4-00644	1170000	60000
CTR-40877-A4-00840	CUS00840	2011-11-30	IVC-40877-A4-00840	5440000	260000
CTR-40877-A4-00863	CUS00863	2011-11-30	IVC-40877-A4-00863	690000	40000
CTR-40877-A4-00870	CUS00870	2011-11-30	IVC-40877-A4-00870	1510000	80000
CTR-40877-A4-00955	CUS00955	2011-11-30	IVC-40877-A4-00955	1170000	60000
CTR-40877-A4-00962	CUS00962	2011-11-30	IVC-40877-A4-00962	360000	20000
CTR-40877-A4-01091	CUS01091	2011-11-30	IVC-40877-A4-01091	2030000	100000
CTR-40877-A4-01148	CUS01148	2011-11-30	IVC-40877-A4-01148	1370000	70000
CTR-40877-A4-01151	CUS01151	2011-11-30	IVC-40877-A4-01151	360000	20000
CTR-40877-A5-00002	CUS00002	2011-11-30	IVC-40877-A5-00002	870000	50000
CTR-40877-A5-00020	CUS00020	2011-11-30	IVC-40877-A5-00020	2170000	110000
CTR-40877-A5-00067	CUS00067	2011-11-30	IVC-40877-A5-00067	1630000	80000
CTR-40877-A5-00076	CUS00076	2011-11-30	IVC-40877-A5-00076	2010000	100000
CTR-40877-A5-00082	CUS00082	2011-11-30	IVC-40877-A5-00082	1880000	90000
CTR-40877-A5-00091	CUS00091	2011-11-30	IVC-40877-A5-00091	180000	10000
CTR-40877-A5-00104	CUS00104	2011-11-30	IVC-40877-A5-00104	4160000	200000
CTR-40877-A5-00122	CUS00122	2011-11-30	IVC-40877-A5-00122	1830000	90000
CTR-40877-A5-00279	CUS00279	2011-11-30	IVC-40877-A5-00279	180000	10000
CTR-40877-A5-00281	CUS00281	2011-11-30	IVC-40877-A5-00281	690000	40000
CTR-40877-A5-00346	CUS00346	2011-11-30	IVC-40877-A5-00346	690000	40000
CTR-40877-A5-00515	CUS00515	2011-11-30	IVC-40877-A5-00515	360000	20000
CTR-40877-A5-00547	CUS00547	2011-11-30	IVC-40877-A5-00547	1170000	60000
CTR-40877-A5-00669	CUS00669	2011-11-30	IVC-40877-A5-00669	870000	50000
CTR-40877-A5-00677	CUS00677	2011-11-30	IVC-40877-A5-00677	870000	50000
CTR-40877-A5-00735	CUS00735	2011-11-30	IVC-40877-A5-00735	1370000	70000
CTR-40877-A5-00770	CUS00770	2011-11-30	IVC-40877-A5-00770	840000	40000
CTR-40877-A5-00868	CUS00868	2011-11-30	IVC-40877-A5-00868	1730000	90000
CTR-40877-A5-00880	CUS00880	2011-11-30	IVC-40877-A5-00880	490000	30000
CTR-40877-A5-00920	CUS00920	2011-11-30	IVC-40877-A5-00920	690000	40000
CTR-40877-A5-00940	CUS00940	2011-11-30	IVC-40877-A5-00940	3980000	190000
CTR-40877-A5-00970	CUS00970	2011-11-30	IVC-40877-A5-00970	490000	30000
CTR-40877-A5-01039	CUS01039	2011-11-30	IVC-40877-A5-01039	1650000	80000
CTR-40877-A5-01080	CUS01080	2011-11-30	IVC-40877-A5-01080	2600000	130000
CTR-40877-A6-00017	CUS00017	2011-11-30	IVC-40877-A6-00017	690000	40000
CTR-40877-A6-00024	CUS00024	2011-11-30	IVC-40877-A6-00024	1550000	80000
CTR-40877-A6-00108	CUS00108	2011-11-30	IVC-40877-A6-00108	490000	30000
CTR-40877-A6-00124	CUS00124	2011-11-30	IVC-40877-A6-00124	2910000	140000
CTR-40877-A6-00130	CUS00130	2011-11-30	IVC-40877-A6-00130	180000	10000
CTR-40877-A6-00253	CUS00253	2011-11-30	IVC-40877-A6-00253	1350000	70000
CTR-40877-A6-00259	CUS00259	2011-11-30	IVC-40877-A6-00259	490000	30000
CTR-40877-A6-00302	CUS00302	2011-11-30	IVC-40877-A6-00302	2050000	100000
CTR-40877-A6-00397	CUS00397	2011-11-30	IVC-40877-A6-00397	870000	50000
CTR-40877-A6-00587	CUS00587	2011-11-30	IVC-40877-A6-00587	2800000	140000
CTR-40877-A6-00684	CUS00684	2011-11-30	IVC-40877-A6-00684	1170000	60000
CTR-40877-A6-00775	CUS00775	2011-11-30	IVC-40877-A6-00775	1170000	60000
CTR-40877-A6-01115	CUS01115	2011-11-30	IVC-40877-A6-01115	1630000	80000
CTR-40877-A7-00020	CUS00020	2011-11-30	IVC-40877-A7-00020	8590000	410000
CTR-40877-A7-00060	CUS00060	2011-11-30	IVC-40877-A7-00060	180000	10000
CTR-40877-A7-00104	CUS00104	2011-11-30	IVC-40877-A7-00104	490000	30000
CTR-40877-A7-00262	CUS00262	2011-11-30	IVC-40877-A7-00262	870000	50000
CTR-40877-A7-00442	CUS00442	2011-11-30	IVC-40877-A7-00442	1940000	100000
CTR-40877-A7-00578	CUS00578	2011-11-30	IVC-40877-A7-00578	360000	20000
CTR-40877-A7-00962	CUS00962	2011-11-30	IVC-40877-A7-00962	1510000	80000
CTR-40877-A7-01085	CUS01085	2011-11-30	IVC-40877-A7-01085	690000	40000
CTR-40877-A7-01097	CUS01097	2011-11-30	IVC-40877-A7-01097	690000	40000
CTR-40877-A7-01108	CUS01108	2011-11-30	IVC-40877-A7-01108	2870000	140000
CTR-40877-A8-00006	CUS00006	2011-11-30	IVC-40877-A8-00006	1220000	60000
CTR-40877-A8-00017	CUS00017	2011-11-30	IVC-40877-A8-00017	870000	50000
CTR-40877-A8-00317	CUS00317	2011-11-30	IVC-40877-A8-00317	870000	50000
CTR-40877-A8-00521	CUS00521	2011-11-30	IVC-40877-A8-00521	360000	20000
CTR-40877-A8-00587	CUS00587	2011-11-30	IVC-40877-A8-00587	490000	30000
CTR-40877-A8-00617	CUS00617	2011-11-30	IVC-40877-A8-00617	690000	40000
CTR-40877-A8-00640	CUS00640	2011-11-30	IVC-40877-A8-00640	4060000	200000
CTR-40877-A8-00646	CUS00646	2011-11-30	IVC-40877-A8-00646	1530000	80000
CTR-40877-A8-00815	CUS00815	2011-11-30	IVC-40877-A8-00815	690000	40000
CTR-40877-A8-00883	CUS00883	2011-11-30	IVC-40877-A8-00883	690000	40000
CTR-40877-A9-00124	CUS00124	2011-11-30	IVC-40877-A9-00124	490000	30000
CTR-40877-A9-00195	CUS00195	2011-11-30	IVC-40877-A9-00195	1830000	90000
CTR-40877-A9-00455	CUS00455	2011-11-30	IVC-40877-A9-00455	3030000	150000
CTR-40877-A9-00499	CUS00499	2011-11-30	IVC-40877-A9-00499	360000	20000
CTR-40877-A9-00611	CUS00611	2011-11-30	IVC-40877-A9-00611	180000	10000
CTR-40877-A9-00700	CUS00700	2011-11-30	IVC-40877-A9-00700	2910000	140000
CTR-40877-A9-00997	CUS00997	2011-11-30	IVC-40877-A9-00997	690000	40000
CTR-40877-M1-00317	CUS00317	2011-11-30	IVC-40877-M1-00317	5750000	280000
CTR-40877-R1-00291	CUS00291	2011-11-30	IVC-40877-R1-00291	3420000	170000
CTR-40877-R1-00295	CUS00295	2011-11-30	IVC-40877-R1-00295	4080000	200000
CTR-40877-R1-00317	CUS00317	2011-11-30	IVC-40877-R1-00317	13020000	620000
CTR-40877-R1-00381	CUS00381	2011-11-30	IVC-40877-R1-00381	3040000	150000
CTR-40877-R1-00617	CUS00617	2011-11-30	IVC-40877-R1-00617	3040000	150000
CTR-40877-R1-00739	CUS00739	2011-11-30	IVC-40877-R1-00739	3030000	150000
CTR-40877-R1-00782	CUS00782	2011-11-30	IVC-40877-R1-00782	3210000	160000
CTR-40877-R1-00981	CUS00981	2011-11-30	IVC-40877-R1-00981	3210000	160000
CTR-40877-R1-01080	CUS01080	2011-11-30	IVC-40877-R1-01080	10550000	510000
CTR-40877-R2-00137	CUS00137	2011-11-30	IVC-40877-R2-00137	3030000	150000
CTR-40877-R2-00279	CUS00279	2011-11-30	IVC-40877-R2-00279	3040000	150000
CTR-40877-R2-00413	CUS00413	2011-11-30	IVC-40877-R2-00413	12530000	600000
CTR-40877-R2-00427	CUS00427	2011-11-30	IVC-40877-R2-00427	3040000	150000
CTR-40877-R2-00563	CUS00563	2011-11-30	IVC-40877-R2-00563	4930000	240000
CTR-40877-R2-00755	CUS00755	2011-11-30	IVC-40877-R2-00755	4040000	200000
CTR-40877-R2-00784	CUS00784	2011-11-30	IVC-40877-R2-00784	3040000	150000
CTR-40877-R2-00980	CUS00980	2011-11-30	IVC-40877-R2-00980	6510000	310000
CTR-40877-R3-00275	CUS00275	2011-11-30	IVC-40877-R3-00275	6510000	310000
CTR-40877-R3-00566	CUS00566	2011-11-30	IVC-40877-R3-00566	3040000	150000
CTR-40877-R3-00790	CUS00790	2011-11-30	IVC-40877-R3-00790	1520000	80000
CTR-40877-R3-01000	CUS01000	2011-11-30	IVC-40877-R3-01000	3210000	160000
CTR-40877-R4-01015	CUS01015	2011-11-30	IVC-40877-R4-01015	6700000	320000
CTR-40877-R5-00275	CUS00275	2011-11-30	IVC-40877-R5-00275	9550000	460000
CTR-40877-R5-00452	CUS00452	2011-11-30	IVC-40877-R5-00452	6510000	310000
CTR-40877-R5-01015	CUS01015	2011-11-30	IVC-40877-R5-01015	2780000	140000
CTR-40877-R6-00136	CUS00136	2011-11-30	IVC-40877-R6-00136	11200000	540000
CTR-40877-R8-00755	CUS00755	2011-11-30	IVC-40877-R8-00755	1520000	80000
CTR-40908-A10-00002	CUS00002	2011-12-31	IVC-40908-A10-00002	870000	50000
CTR-40908-A10-00033	CUS00033	2011-12-31	IVC-40908-A10-00033	1450000	70000
CTR-40908-A10-00127	CUS00127	2011-12-31	IVC-40908-A10-00127	1040000	50000
CTR-40908-A10-00225	CUS00225	2011-12-31	IVC-40908-A10-00225	490000	30000
CTR-40908-A10-00282	CUS00282	2011-12-31	IVC-40908-A10-00282	1830000	90000
CTR-40908-A10-00512	CUS00512	2011-12-31	IVC-40908-A10-00512	970000	50000
CTR-40908-A10-00566	CUS00566	2011-12-31	IVC-40908-A10-00566	1550000	80000
CTR-40908-A1-00061	CUS00061	2011-12-31	IVC-40908-A1-00061	2030000	100000
CTR-40908-A10-00763	CUS00763	2011-12-31	IVC-40908-A10-00763	690000	40000
CTR-40908-A10-00875	CUS00875	2011-12-31	IVC-40908-A10-00875	690000	40000
CTR-40908-A10-00951	CUS00951	2011-12-31	IVC-40908-A10-00951	690000	40000
CTR-40908-A10-01126	CUS01126	2011-12-31	IVC-40908-A10-01126	3220000	160000
CTR-40908-A10-01132	CUS01132	2011-12-31	IVC-40908-A10-01132	490000	30000
CTR-40908-A1-00124	CUS00124	2011-12-31	IVC-40908-A1-00124	4460000	220000
CTR-40908-A1-00137	CUS00137	2011-12-31	IVC-40908-A1-00137	870000	50000
CTR-40908-A1-00312	CUS00312	2011-12-31	IVC-40908-A1-00312	1170000	60000
CTR-40908-A1-00330	CUS00330	2011-12-31	IVC-40908-A1-00330	1630000	80000
CTR-40908-A1-00381	CUS00381	2011-12-31	IVC-40908-A1-00381	2140000	110000
CTR-40908-A1-00489	CUS00489	2011-12-31	IVC-40908-A1-00489	180000	10000
CTR-40908-A1-00515	CUS00515	2011-12-31	IVC-40908-A1-00515	670000	40000
CTR-40908-A1-00547	CUS00547	2011-12-31	IVC-40908-A1-00547	180000	10000
CTR-40908-A1-00552	CUS00552	2011-12-31	IVC-40908-A1-00552	180000	10000
CTR-40908-A1-00564	CUS00564	2011-12-31	IVC-40908-A1-00564	870000	50000
CTR-40908-A1-00657	CUS00657	2011-12-31	IVC-40908-A1-00657	690000	40000
CTR-40908-A1-00792	CUS00792	2011-12-31	IVC-40908-A1-00792	1220000	60000
CTR-40908-A1-00900	CUS00900	2011-12-31	IVC-40908-A1-00900	3020000	150000
CTR-40908-A1-00902	CUS00902	2011-12-31	IVC-40908-A1-00902	840000	40000
CTR-40908-A1-00940	CUS00940	2011-12-31	IVC-40908-A1-00940	3380000	170000
CTR-40908-A1-00955	CUS00955	2011-12-31	IVC-40908-A1-00955	1350000	70000
CTR-40908-A1-01000	CUS01000	2011-12-31	IVC-40908-A1-01000	690000	40000
CTR-40908-A1-01039	CUS01039	2011-12-31	IVC-40908-A1-01039	1350000	70000
CTR-40908-A1-01047	CUS01047	2011-12-31	IVC-40908-A1-01047	2010000	100000
CTR-40908-A1-01054	CUS01054	2011-12-31	IVC-40908-A1-01054	3680000	180000
CTR-40908-A1-01132	CUS01132	2011-12-31	IVC-40908-A1-01132	1350000	70000
CTR-40908-A1-01134	CUS01134	2011-12-31	IVC-40908-A1-01134	1510000	80000
CTR-40908-A11-00038	CUS00038	2011-12-31	IVC-40908-A11-00038	490000	30000
CTR-40908-A11-00186	CUS00186	2011-12-31	IVC-40908-A11-00186	690000	40000
CTR-40908-A11-00275	CUS00275	2011-12-31	IVC-40908-A11-00275	690000	40000
CTR-40908-A11-00564	CUS00564	2011-12-31	IVC-40908-A11-00564	2540000	130000
CTR-40908-A11-00950	CUS00950	2011-12-31	IVC-40908-A11-00950	1170000	60000
CTR-40908-A11-00951	CUS00951	2011-12-31	IVC-40908-A11-00951	970000	50000
CTR-40908-A11-01151	CUS01151	2011-12-31	IVC-40908-A11-01151	2890000	140000
CTR-40908-A12-00131	CUS00131	2011-12-31	IVC-40908-A12-00131	1370000	70000
CTR-40908-A12-00132	CUS00132	2011-12-31	IVC-40908-A12-00132	490000	30000
CTR-40908-A12-00238	CUS00238	2011-12-31	IVC-40908-A12-00238	360000	20000
CTR-40908-A12-00455	CUS00455	2011-12-31	IVC-40908-A12-00455	360000	20000
CTR-40908-A12-01053	CUS01053	2011-12-31	IVC-40908-A12-01053	1330000	70000
CTR-40908-A12-01085	CUS01085	2011-12-31	IVC-40908-A12-01085	690000	40000
CTR-40908-A13-00132	CUS00132	2011-12-31	IVC-40908-A13-00132	490000	30000
CTR-40908-A13-00372	CUS00372	2011-12-31	IVC-40908-A13-00372	4040000	200000
CTR-40908-A13-00561	CUS00561	2011-12-31	IVC-40908-A13-00561	490000	30000
CTR-40908-A14-00154	CUS00154	2011-12-31	IVC-40908-A14-00154	1170000	60000
CTR-40908-A14-00286	CUS00286	2011-12-31	IVC-40908-A14-00286	2620000	130000
CTR-40908-A14-00989	CUS00989	2011-12-31	IVC-40908-A14-00989	870000	50000
CTR-40908-A14-01002	CUS01002	2011-12-31	IVC-40908-A14-01002	690000	40000
CTR-40908-A16-00482	CUS00482	2011-12-31	IVC-40908-A16-00482	690000	40000
CTR-40908-A16-00755	CUS00755	2011-12-31	IVC-40908-A16-00755	490000	30000
CTR-40908-A18-00482	CUS00482	2011-12-31	IVC-40908-A18-00482	180000	10000
CTR-40908-A2-00010	CUS00010	2011-12-31	IVC-40908-A2-00010	490000	30000
CTR-40908-A2-00027	CUS00027	2011-12-31	IVC-40908-A2-00027	3020000	150000
CTR-40908-A2-00061	CUS00061	2011-12-31	IVC-40908-A2-00061	2050000	100000
CTR-40908-A2-00076	CUS00076	2011-12-31	IVC-40908-A2-00076	1530000	80000
CTR-40908-A2-00169	CUS00169	2011-12-31	IVC-40908-A2-00169	690000	40000
CTR-40908-A2-00335	CUS00335	2011-12-31	IVC-40908-A2-00335	840000	40000
CTR-40908-A2-00350	CUS00350	2011-12-31	IVC-40908-A2-00350	1910000	100000
CTR-40908-A2-00384	CUS00384	2011-12-31	IVC-40908-A2-00384	690000	40000
CTR-40908-A2-00427	CUS00427	2011-12-31	IVC-40908-A2-00427	670000	40000
CTR-40908-A2-00515	CUS00515	2011-12-31	IVC-40908-A2-00515	2390000	120000
CTR-40908-A2-00531	CUS00531	2011-12-31	IVC-40908-A2-00531	490000	30000
CTR-40908-A2-00551	CUS00551	2011-12-31	IVC-40908-A2-00551	2210000	110000
CTR-40908-A2-00564	CUS00564	2011-12-31	IVC-40908-A2-00564	180000	10000
CTR-40908-A2-00568	CUS00568	2011-12-31	IVC-40908-A2-00568	490000	30000
CTR-40908-A2-00611	CUS00611	2011-12-31	IVC-40908-A2-00611	1020000	50000
CTR-40908-A2-00630	CUS00630	2011-12-31	IVC-40908-A2-00630	540000	30000
CTR-40908-A2-00729	CUS00729	2011-12-31	IVC-40908-A2-00729	690000	40000
CTR-40908-A2-00733	CUS00733	2011-12-31	IVC-40908-A2-00733	2230000	110000
CTR-40908-A2-00821	CUS00821	2011-12-31	IVC-40908-A2-00821	1170000	60000
CTR-40908-A2-00844	CUS00844	2011-12-31	IVC-40908-A2-00844	1650000	80000
CTR-40908-A2-00853	CUS00853	2011-12-31	IVC-40908-A2-00853	670000	40000
CTR-40908-A2-00863	CUS00863	2011-12-31	IVC-40908-A2-00863	3250000	160000
CTR-40908-A2-00866	CUS00866	2011-12-31	IVC-40908-A2-00866	2590000	130000
CTR-40908-A2-00990	CUS00990	2011-12-31	IVC-40908-A2-00990	2370000	120000
CTR-40908-A2-01039	CUS01039	2011-12-31	IVC-40908-A2-01039	180000	10000
CTR-40908-A2-01042	CUS01042	2011-12-31	IVC-40908-A2-01042	180000	10000
CTR-40908-A2-01059	CUS01059	2011-12-31	IVC-40908-A2-01059	3930000	190000
CTR-40908-A2-01066	CUS01066	2011-12-31	IVC-40908-A2-01066	870000	50000
CTR-40908-A2-01073	CUS01073	2011-12-31	IVC-40908-A2-01073	670000	40000
CTR-40908-A2-01089	CUS01089	2011-12-31	IVC-40908-A2-01089	180000	10000
CTR-40908-A2-01118	CUS01118	2011-12-31	IVC-40908-A2-01118	1170000	60000
CTR-40908-A2-01148	CUS01148	2011-12-31	IVC-40908-A2-01148	1350000	70000
CTR-40908-A3-00092	CUS00092	2011-12-31	IVC-40908-A3-00092	3050000	150000
CTR-40908-A3-00154	CUS00154	2011-12-31	IVC-40908-A3-00154	870000	50000
CTR-40908-A3-00197	CUS00197	2011-12-31	IVC-40908-A3-00197	970000	50000
CTR-40908-A3-00201	CUS00201	2011-12-31	IVC-40908-A3-00201	360000	20000
CTR-40908-A3-00279	CUS00279	2011-12-31	IVC-40908-A3-00279	2210000	110000
CTR-40908-A3-00283	CUS00283	2011-12-31	IVC-40908-A3-00283	490000	30000
CTR-40908-A3-00327	CUS00327	2011-12-31	IVC-40908-A3-00327	1530000	80000
CTR-40908-A3-00331	CUS00331	2011-12-31	IVC-40908-A3-00331	490000	30000
CTR-40908-A3-00357	CUS00357	2011-12-31	IVC-40908-A3-00357	1650000	80000
CTR-40908-A3-00431	CUS00431	2011-12-31	IVC-40908-A3-00431	870000	50000
CTR-40908-A3-00479	CUS00479	2011-12-31	IVC-40908-A3-00479	1730000	90000
CTR-40908-A3-00531	CUS00531	2011-12-31	IVC-40908-A3-00531	1170000	60000
CTR-40908-A3-00568	CUS00568	2011-12-31	IVC-40908-A3-00568	180000	10000
